inventory_snapshot_id,snapshot_date,product_id,channel_id,on_hand_qty,on_order_qty,units_sold_in_week,reorder_point,is_stockout
INV-0000074,2023-03-13,APP-0005,CH-ON-01,40,0,15,36,False
INV-0000075,2023-03-13,APP-0005,CH-WS-01,113,0,5,36,False
INV-0000076,2023-03-13,HOM-0032,CH-NE-01,41,0,6,28,False
INV-0000077,2023-03-13,HOM-0032,CH-MW-01,23,48,14,28,False
INV-0000078,2023-03-13,HOM-0032,CH-WE-01,52,0,4,28,False
INV-0000079,2023-03-13,HOM-0032,CH-ON-01,38,0,14,28,False
INV-0000080,2023-03-13,HOM-0032,CH-WS-01,56,0,1,28,False
INV-0000081,2023-03-20,APP-0005,CH-NE-01,47,0,12,36,False
INV-0000082,2023-03-20,APP-0005,CH-MW-01,87,0,8,36,False
INV-0000083,2023-03-20,APP-0005,CH-WE-01,124,0,6,36,False
INV-0000084,2023-03-20,APP-0005,CH-ON-01,28,117,12,36,False
INV-0000085,2023-03-20,APP-0005,CH-WS-01,113,0,0,36,False
INV-0000086,2023-03-20,HOM-0032,CH-NE-01,34,0,7,28,False
INV-0000087,2023-03-20,HOM-0032,CH-MW-01,68,0,3,28,False
INV-0000088,2023-03-20,HOM-0032,CH-WE-01,36,0,16,28,False
INV-0000089,2023-03-20,HOM-0032,CH-ON-01,27,67,11,28,False
INV-0000090,2023-03-20,HOM-0032,CH-WS-01,53,0,3,28,False
INV-0000091,2023-03-27,APP-0005,CH-NE-01,42,0,5,36,False
INV-0000092,2023-03-27,APP-0005,CH-MW-01,73,0,14,36,False
INV-0000093,2023-03-27,APP-0005,CH-WE-01,114,0,10,36,False
INV-0000094,2023-03-27,APP-0005,CH-ON-01,142,0,3,36,False
INV-0000095,2023-03-27,APP-0005,CH-WS-01,109,0,4,36,False
INV-0000096,2023-03-27,HOM-0032,CH-NE-01,27,43,7,28,False
INV-0000097,2023-03-27,HOM-0032,CH-MW-01,59,0,9,28,False
INV-0000098,2023-03-27,HOM-0032,CH-WE-01,31,0,5,28,False
INV-0000099,2023-03-27,HOM-0032,CH-ON-01,85,0,9,28,False
INV-0000100,2023-03-27,HOM-0032,CH-WS-01,49,0,4,28,False
INV-0000101,2023-04-03,APP-0005,CH-NE-01,35,123,7,36,False
INV-0000102,2023-04-03,APP-0005,CH-MW-01,69,0,4,36,False
INV-0000103,2023-04-03,APP-0005,CH-WE-01,100,0,14,36,False
INV-0000104,2023-04-03,APP-0005,CH-ON-01,126,0,16,36,False
INV-0000105,2023-04-03,APP-0005,CH-WS-01,102,0,7,36,False
INV-0000106,2023-04-03,HOM-0031,CH-NE-01,90,0,7,25,False
INV-0000107,2023-04-03,HOM-0031,CH-MW-01,93,0,4,25,False
INV-0000108,2023-04-03,HOM-0031,CH-WE-01,92,0,5,25,False
INV-0000109,2023-04-03,HOM-0031,CH-ON-01,91,0,6,25,False
INV-0000110,2023-04-03,HOM-0031,CH-WS-01,92,0,5,25,False
INV-0000111,2023-04-03,HOM-0032,CH-NE-01,62,0,8,28,False
INV-0000112,2023-04-03,HOM-0032,CH-MW-01,50,0,9,28,False
INV-0000113,2023-04-03,HOM-0032,CH-WE-01,18,47,13,28,False
INV-0000114,2023-04-03,HOM-0032,CH-ON-01,73,0,12,28,False
INV-0000115,2023-04-03,HOM-0032,CH-WS-01,47,0,2,28,False
INV-0000116,2023-04-10,APP-0005,CH-NE-01,149,0,9,36,False
INV-0000117,2023-04-10,APP-0005,CH-MW-01,58,0,11,36,False
INV-0000118,2023-04-10,APP-0005,CH-WE-01,95,0,5,36,False
INV-0000119,2023-04-10,APP-0005,CH-ON-01,109,0,17,36,False
INV-0000120,2023-04-10,APP-0005,CH-WS-01,99,0,3,36,False
INV-0000121,2023-04-10,APP-0007,CH-NE-01,86,0,7,28,False
INV-0000122,2023-04-10,APP-0007,CH-MW-01,91,0,2,28,False
INV-0000123,2023-04-10,APP-0007,CH-WE-01,92,0,1,28,False
INV-0000124,2023-04-10,APP-0007,CH-ON-01,87,0,6,28,False
INV-0000125,2023-04-10,APP-0007,CH-WS-01,91,0,2,28,False
INV-0000126,2023-04-10,HOM-0029,CH-NE-01,116,0,12,39,False
INV-0000127,2023-04-10,HOM-0029,CH-MW-01,123,0,5,39,False
INV-0000128,2023-04-10,HOM-0029,CH-WE-01,116,0,12,39,False
INV-0000129,2023-04-10,HOM-0029,CH-ON-01,119,0,9,39,False
INV-0000130,2023-04-10,HOM-0029,CH-WS-01,128,0,0,39,False
INV-0000131,2023-04-10,HOM-0031,CH-NE-01,77,0,13,25,False
INV-0000132,2023-04-10,HOM-0031,CH-MW-01,79,0,14,25,False
INV-0000133,2023-04-10,HOM-0031,CH-WE-01,81,0,11,25,False
INV-0000134,2023-04-10,HOM-0031,CH-ON-01,67,0,24,25,False
INV-0000135,2023-04-10,HOM-0031,CH-WS-01,92,0,0,25,False
INV-0000136,2023-04-10,HOM-0032,CH-NE-01,58,0,4,28,False
INV-0000137,2023-04-10,HOM-0032,CH-MW-01,45,0,5,28,False
INV-0000138,2023-04-10,HOM-0032,CH-WE-01,65,0,0,28,False
INV-0000139,2023-04-10,HOM-0032,CH-ON-01,62,0,11,28,False
INV-0000140,2023-04-10,HOM-0032,CH-WS-01,47,0,0,28,False
INV-0000141,2023-04-17,APP-0005,CH-NE-01,143,0,6,36,False
INV-0000142,2023-04-17,APP-0005,CH-MW-01,55,0,3,36,False
INV-0000143,2023-04-17,APP-0005,CH-WE-01,83,0,12,36,False
INV-0000144,2023-04-17,APP-0005,CH-ON-01,96,0,13,36,False
INV-0000145,2023-04-17,APP-0005,CH-WS-01,95,0,4,36,False
INV-0000146,2023-04-17,APP-0007,CH-NE-01,79,0,7,28,False
INV-0000147,2023-04-17,APP-0007,CH-MW-01,78,0,13,28,False
INV-0000148,2023-04-17,APP-0007,CH-WE-01,82,0,10,28,False
INV-0000149,2023-04-17,APP-0007,CH-ON-01,66,0,21,28,False
INV-0000150,2023-04-17,APP-0007,CH-WS-01,88,0,3,28,False
INV-0000151,2023-04-17,APP-0010,CH-NE-01,111,0,0,34,False
INV-0000152,2023-04-17,APP-0010,CH-MW-01,110,0,1,34,False
INV-0000153,2023-04-17,APP-0010,CH-WE-01,98,0,13,34,False
INV-0000154,2023-04-17,APP-0010,CH-ON-01,98,0,13,34,False
INV-0000155,2023-04-17,APP-0010,CH-WS-01,110,0,1,34,False
INV-0000156,2023-04-17,HOM-0029,CH-NE-01,109,0,7,39,False
INV-0000157,2023-04-17,HOM-0029,CH-MW-01,116,0,7,39,False
INV-0000158,2023-04-17,HOM-0029,CH-WE-01,104,0,12,39,False
INV-0000159,2023-04-17,HOM-0029,CH-ON-01,111,0,8,39,False
INV-0000160,2023-04-17,HOM-0029,CH-WS-01,126,0,2,39,False
INV-0000161,2023-04-17,HOM-0031,CH-NE-01,70,0,7,25,False
INV-0000162,2023-04-17,HOM-0031,CH-MW-01,66,0,13,25,False
INV-0000163,2023-04-17,HOM-0031,CH-WE-01,68,0,13,25,False
INV-0000164,2023-04-17,HOM-0031,CH-ON-01,55,0,12,25,False
INV-0000165,2023-04-17,HOM-0031,CH-WS-01,92,0,0,25,False
INV-0000166,2023-04-17,HOM-0032,CH-NE-01,52,0,6,28,False
INV-0000167,2023-04-17,HOM-0032,CH-MW-01,40,0,5,28,False
INV-0000168,2023-04-17,HOM-0032,CH-WE-01,61,0,4,28,False
INV-0000169,2023-04-17,HOM-0032,CH-ON-01,52,0,10,28,False
INV-0000170,2023-04-17,HOM-0032,CH-WS-01,45,0,2,28,False
INV-0000171,2023-04-24,APP-0005,CH-NE-01,127,0,16,36,False
INV-0000172,2023-04-24,APP-0005,CH-MW-01,41,0,14,36,False
INV-0000173,2023-04-24,APP-0005,CH-WE-01,77,0,6,36,False
INV-0000174,2023-04-24,APP-0005,CH-ON-01,90,0,6,36,False
INV-0000175,2023-04-24,APP-0005,CH-WS-01,95,0,0,36,False
INV-0000176,2023-04-24,APP-0007,CH-NE-01,64,0,15,28,False
INV-0000177,2023-04-24,APP-0007,CH-MW-01,74,0,4,28,False
INV-0000178,2023-04-24,APP-0007,CH-WE-01,81,0,1,28,False
INV-0000179,2023-04-24,APP-0007,CH-ON-01,64,0,2,28,False
INV-0000180,2023-04-24,APP-0007,CH-WS-01,86,0,2,28,False
INV-0000181,2023-04-24,APP-0010,CH-NE-01,102,0,9,34,False
INV-0000182,2023-04-24,APP-0010,CH-MW-01,106,0,4,34,False
INV-0000183,2023-04-24,APP-0010,CH-WE-01,83,0,15,34,False
INV-0000184,2023-04-24,APP-0010,CH-ON-01,86,0,12,34,False
INV-0000185,2023-04-24,APP-0010,CH-WS-01,98,0,12,34,False
INV-0000186,2023-04-24,HOM-0029,CH-NE-01,106,0,3,39,False
INV-0000187,2023-04-24,HOM-0029,CH-MW-01,113,0,3,39,False
INV-0000188,2023-04-24,HOM-0029,CH-WE-01,85,0,19,39,False
INV-0000189,2023-04-24,HOM-0029,CH-ON-01,95,0,16,39,False
INV-0000190,2023-04-24,HOM-0029,CH-WS-01,122,0,4,39,False
INV-0000191,2023-04-24,HOM-0031,CH-NE-01,60,0,10,25,False
INV-0000192,2023-04-24,HOM-0031,CH-MW-01,57,0,9,25,False
INV-0000193,2023-04-24,HOM-0031,CH-WE-01,65,0,3,25,False
INV-0000194,2023-04-24,HOM-0031,CH-ON-01,38,0,17,25,False
INV-0000195,2023-04-24,HOM-0031,CH-WS-01,88,0,4,25,False
INV-0000196,2023-04-24,HOM-0032,CH-NE-01,35,0,17,28,False
INV-0000197,2023-04-24,HOM-0032,CH-MW-01,37,0,3,28,False
INV-0000198,2023-04-24,HOM-0032,CH-WE-01,54,0,7,28,False
INV-0000199,2023-04-24,HOM-0032,CH-ON-01,45,0,7,28,False
INV-0000200,2023-04-24,HOM-0032,CH-WS-01,44,0,1,28,False
INV-0000201,2023-05-01,APP-0005,CH-NE-01,124,0,3,36,False
INV-0000202,2023-05-01,APP-0005,CH-MW-01,34,118,7,36,False
INV-0000203,2023-05-01,APP-0005,CH-WE-01,63,0,14,36,False
INV-0000204,2023-05-01,APP-0005,CH-ON-01,74,0,16,36,False
INV-0000205,2023-05-01,APP-0005,CH-WS-01,88,0,7,36,False
INV-0000206,2023-05-01,APP-0007,CH-NE-01,57,0,7,28,False
INV-0000207,2023-05-01,APP-0007,CH-MW-01,66,0,8,28,False
INV-0000208,2023-05-01,APP-0007,CH-WE-01,78,0,3,28,False
INV-0000209,2023-05-01,APP-0007,CH-ON-01,55,0,9,28,False
INV-0000210,2023-05-01,APP-0007,CH-WS-01,80,0,6,28,False
INV-0000211,2023-05-01,APP-0010,CH-NE-01,94,0,8,34,False
INV-0000212,2023-05-01,APP-0010,CH-MW-01,100,0,6,34,False
INV-0000213,2023-05-01,APP-0010,CH-WE-01,72,0,11,34,False
INV-0000214,2023-05-01,APP-0010,CH-ON-01,69,0,17,34,False
INV-0000215,2023-05-01,APP-0010,CH-WS-01,98,0,0,34,False
INV-0000216,2023-05-01,HOM-0029,CH-NE-01,103,0,3,39,False
INV-0000217,2023-05-01,HOM-0029,CH-MW-01,107,0,6,39,False
INV-0000218,2023-05-01,HOM-0029,CH-WE-01,65,0,20,39,False
INV-0000219,2023-05-01,HOM-0029,CH-ON-01,86,0,9,39,False
INV-0000220,2023-05-01,HOM-0029,CH-WS-01,120,0,2,39,False
INV-0000221,2023-05-01,HOM-0031,CH-NE-01,56,0,4,25,False
INV-0000222,2023-05-01,HOM-0031,CH-MW-01,47,0,10,25,False
INV-0000223,2023-05-01,HOM-0031,CH-WE-01,60,0,5,25,False
INV-0000224,2023-05-01,HOM-0031,CH-ON-01,29,0,9,25,False
INV-0000225,2023-05-01,HOM-0031,CH-WS-01,85,0,3,25,False
INV-0000226,2023-05-01,HOM-0032,CH-NE-01,25,69,10,28,False
INV-0000227,2023-05-01,HOM-0032,CH-MW-01,21,38,16,28,False
INV-0000228,2023-05-01,HOM-0032,CH-WE-01,40,0,14,28,False
INV-0000229,2023-05-01,HOM-0032,CH-ON-01,31,0,14,28,False
INV-0000230,2023-05-01,HOM-0032,CH-WS-01,40,0,4,28,False
INV-0000231,2023-05-08,APP-0005,CH-NE-01,119,0,5,36,False
INV-0000232,2023-05-08,APP-0005,CH-MW-01,147,0,5,36,False
INV-0000233,2023-05-08,APP-0005,CH-WE-01,50,0,13,36,False
INV-0000234,2023-05-08,APP-0005,CH-ON-01,63,0,11,36,False
INV-0000235,2023-05-08,APP-0005,CH-WS-01,77,0,11,36,False
INV-0000236,2023-05-08,APP-0007,CH-NE-01,50,0,7,28,False
INV-0000237,2023-05-08,APP-0007,CH-MW-01,57,0,9,28,False
INV-0000238,2023-05-08,APP-0007,CH-WE-01,67,0,11,28,False
INV-0000239,2023-05-08,APP-0007,CH-ON-01,50,0,5,28,False
INV-0000240,2023-05-08,APP-0007,CH-WS-01,74,0,6,28,False
INV-0000241,2023-05-08,APP-0010,CH-NE-01,88,0,6,34,False
INV-0000242,2023-05-08,APP-0010,CH-MW-01,91,0,9,34,False
INV-0000243,2023-05-08,APP-0010,CH-WE-01,57,0,15,34,False
INV-0000244,2023-05-08,APP-0010,CH-ON-01,55,0,14,34,False
INV-0000245,2023-05-08,APP-0010,CH-WS-01,95,0,3,34,False
INV-0000246,2023-05-08,HOM-0029,CH-NE-01,93,0,10,39,False
INV-0000247,2023-05-08,HOM-0029,CH-MW-01,103,0,4,39,False
INV-0000248,2023-05-08,HOM-0029,CH-WE-01,51,0,14,39,False
INV-0000249,2023-05-08,HOM-0029,CH-ON-01,71,0,15,39,False
INV-0000250,2023-05-08,HOM-0029,CH-WS-01,117,0,3,39,False
INV-0000251,2023-05-08,HOM-0031,CH-NE-01,47,0,9,25,False
INV-0000252,2023-05-08,HOM-0031,CH-MW-01,41,0,6,25,False
INV-0000253,2023-05-08,HOM-0031,CH-WE-01,53,0,7,25,False
INV-0000254,2023-05-08,HOM-0031,CH-ON-01,2,93,27,25,False
INV-0000255,2023-05-08,HOM-0031,CH-WS-01,83,0,2,25,False
INV-0000256,2023-05-08,HOM-0032,CH-NE-01,83,0,11,28,False
INV-0000257,2023-05-08,HOM-0032,CH-MW-01,55,0,4,28,False
INV-0000258,2023-05-08,HOM-0032,CH-WE-01,29,0,11,28,False
INV-0000259,2023-05-08,HOM-0032,CH-ON-01,8,37,23,28,False
INV-0000260,2023-05-08,HOM-0032,CH-WS-01,37,0,3,28,False
INV-0000261,2023-05-15,APP-0005,CH-NE-01,107,0,12,36,False
INV-0000262,2023-05-15,APP-0005,CH-MW-01,145,0,2,36,False
INV-0000263,2023-05-15,APP-0005,CH-WE-01,46,0,4,36,False
INV-0000264,2023-05-15,APP-0005,CH-ON-01,53,0,10,36,False
INV-0000265,2023-05-15,APP-0005,CH-WS-01,75,0,2,36,False
INV-0000266,2023-05-15,APP-0007,CH-NE-01,36,0,14,28,False
INV-0000267,2023-05-15,APP-0007,CH-MW-01,52,0,5,28,False
INV-0000268,2023-05-15,APP-0007,CH-WE-01,56,0,11,28,False
INV-0000269,2023-05-15,APP-0007,CH-ON-01,29,0,21,28,False
INV-0000270,2023-05-15,APP-0007,CH-WS-01,73,0,1,28,False
INV-0000271,2023-05-15,APP-0010,CH-NE-01,71,0,17,34,False
INV-0000272,2023-05-15,APP-0010,CH-MW-01,88,0,3,34,False
INV-0000273,2023-05-15,APP-0010,CH-WE-01,53,0,4,34,False
INV-0000274,2023-05-15,APP-0010,CH-ON-01,44,0,11,34,False
INV-0000275,2023-05-15,APP-0010,CH-WS-01,93,0,2,34,False
INV-0000276,2023-05-15,HOM-0029,CH-NE-01,76,0,17,39,False
INV-0000277,2023-05-15,HOM-0029,CH-MW-01,98,0,5,39,False
INV-0000278,2023-05-15,HOM-0029,CH-WE-01,36,112,15,39,False
INV-0000279,2023-05-15,HOM-0029,CH-ON-01,63,0,8,39,False
INV-0000280,2023-05-15,HOM-0029,CH-WS-01,107,0,10,39,False
INV-0000281,2023-05-15,HOM-0031,CH-NE-01,35,0,12,25,False
INV-0000282,2023-05-15,HOM-0031,CH-MW-01,26,0,15,25,False
INV-0000283,2023-05-15,HOM-0031,CH-WE-01,36,0,17,25,False
INV-0000284,2023-05-15,HOM-0031,CH-ON-01,83,0,12,25,False
INV-0000285,2023-05-15,HOM-0031,CH-WS-01,80,0,3,25,False
INV-0000286,2023-05-15,HOM-0032,CH-NE-01,75,0,8,28,False
INV-0000287,2023-05-15,HOM-0032,CH-MW-01,51,0,4,28,False
INV-0000288,2023-05-15,HOM-0032,CH-WE-01,20,45,9,28,False
INV-0000289,2023-05-15,HOM-0032,CH-ON-01,36,0,9,28,False
INV-0000290,2023-05-15,HOM-0032,CH-WS-01,36,0,1,28,False
INV-0000291,2023-05-22,APP-0005,CH-NE-01,98,0,9,36,False
INV-0000292,2023-05-22,APP-0005,CH-MW-01,141,0,4,36,False
INV-0000293,2023-05-22,APP-0005,CH-WE-01,37,0,9,36,False
INV-0000294,2023-05-22,APP-0005,CH-ON-01,38,0,15,36,False
INV-0000295,2023-05-22,APP-0005,CH-WS-01,71,0,4,36,False
INV-0000296,2023-05-22,APP-0007,CH-NE-01,32,0,4,28,False
INV-0000297,2023-05-22,APP-0007,CH-MW-01,48,0,4,28,False
INV-0000298,2023-05-22,APP-0007,CH-WE-01,52,0,4,28,False
INV-0000299,2023-05-22,APP-0007,CH-ON-01,26,86,3,28,False
INV-0000300,2023-05-22,APP-0007,CH-WS-01,71,0,2,28,False
INV-0000301,2023-05-22,APP-0010,CH-NE-01,67,0,4,34,False
INV-0000302,2023-05-22,APP-0010,CH-MW-01,77,0,11,34,False
INV-0000303,2023-05-22,APP-0010,CH-WE-01,44,0,9,34,False
INV-0000304,2023-05-22,APP-0010,CH-ON-01,28,99,16,34,False
INV-0000305,2023-05-22,APP-0010,CH-WS-01,93,0,0,34,False
INV-0000306,2023-05-22,APP-0011,CH-NE-01,142,0,12,44,False
INV-0000307,2023-05-22,APP-0011,CH-MW-01,152,0,2,44,False
INV-0000308,2023-05-22,APP-0011,CH-WE-01,145,0,9,44,False
INV-0000309,2023-05-22,APP-0011,CH-ON-01,140,0,14,44,False
INV-0000310,2023-05-22,APP-0011,CH-WS-01,153,0,1,44,False
INV-0000311,2023-05-22,HOM-0029,CH-NE-01,73,0,3,39,False
INV-0000312,2023-05-22,HOM-0029,CH-MW-01,95,0,3,39,False
INV-0000313,2023-05-22,HOM-0029,CH-WE-01,124,0,24,39,False
INV-0000314,2023-05-22,HOM-0029,CH-ON-01,45,0,18,39,False
INV-0000315,2023-05-22,HOM-0029,CH-WS-01,107,0,0,39,False
INV-0000316,2023-05-22,HOM-0031,CH-NE-01,31,0,4,25,False
INV-0000317,2023-05-22,HOM-0031,CH-MW-01,20,89,6,25,False
INV-0000318,2023-05-22,HOM-0031,CH-WE-01,27,0,9,25,False
INV-0000319,2023-05-22,HOM-0031,CH-ON-01,66,0,17,25,False
INV-0000320,2023-05-22,HOM-0031,CH-WS-01,78,0,2,25,False
INV-0000321,2023-05-22,HOM-0032,CH-NE-01,67,0,8,28,False
INV-0000322,2023-05-22,HOM-0032,CH-MW-01,44,0,7,28,False
INV-0000323,2023-05-22,HOM-0032,CH-WE-01,57,0,8,28,False
INV-0000324,2023-05-22,HOM-0032,CH-ON-01,27,59,9,28,False
INV-0000325,2023-05-22,HOM-0032,CH-WS-01,32,0,4,28,False
INV-0000326,2023-05-29,APP-0005,CH-NE-01,88,0,10,36,False
INV-0000327,2023-05-29,APP-0005,CH-MW-01,138,0,3,36,False
INV-0000328,2023-05-29,APP-0005,CH-WE-01,30,108,7,36,False
INV-0000329,2023-05-29,APP-0005,CH-ON-01,27,95,11,36,False
INV-0000330,2023-05-29,APP-0005,CH-WS-01,66,0,5,36,False
INV-0000331,2023-05-29,APP-0007,CH-NE-01,19,46,13,28,False
INV-0000332,2023-05-29,APP-0007,CH-MW-01,45,0,3,28,False
INV-0000333,2023-05-29,APP-0007,CH-WE-01,33,0,19,28,False
INV-0000334,2023-05-29,APP-0007,CH-ON-01,98,0,14,28,False
INV-0000335,2023-05-29,APP-0007,CH-WS-01,70,0,1,28,False
INV-0000336,2023-05-29,APP-0010,CH-NE-01,63,0,4,34,False
INV-0000337,2023-05-29,APP-0010,CH-MW-01,71,0,6,34,False
INV-0000338,2023-05-29,APP-0010,CH-WE-01,34,70,10,34,False
INV-0000339,2023-05-29,APP-0010,CH-ON-01,109,0,18,34,False
INV-0000340,2023-05-29,APP-0010,CH-WS-01,93,0,0,34,False
INV-0000341,2023-05-29,APP-0011,CH-NE-01,135,0,7,44,False
INV-0000342,2023-05-29,APP-0011,CH-MW-01,137,0,15,44,False
INV-0000343,2023-05-29,APP-0011,CH-WE-01,133,0,12,44,False
INV-0000344,2023-05-29,APP-0011,CH-ON-01,128,0,12,44,False
INV-0000345,2023-05-29,APP-0011,CH-WS-01,152,0,1,44,False
INV-0000346,2023-05-29,HOM-0029,CH-NE-01,60,0,13,39,False
INV-0000347,2023-05-29,HOM-0029,CH-MW-01,82,0,13,39,False
INV-0000348,2023-05-29,HOM-0029,CH-WE-01,116,0,8,39,False
INV-0000349,2023-05-29,HOM-0029,CH-ON-01,32,114,13,39,False
INV-0000350,2023-05-29,HOM-0029,CH-WS-01,107,0,0,39,False
INV-0000351,2023-05-29,HOM-0031,CH-NE-01,25,55,6,25,False
INV-0000352,2023-05-29,HOM-0031,CH-MW-01,102,0,7,25,False
INV-0000353,2023-05-29,HOM-0031,CH-WE-01,11,83,16,25,False
INV-0000354,2023-05-29,HOM-0031,CH-ON-01,56,0,10,25,False
INV-0000355,2023-05-29,HOM-0031,CH-WS-01,68,0,10,25,False
INV-0000356,2023-05-29,HOM-0032,CH-NE-01,64,0,3,28,False
INV-0000357,2023-05-29,HOM-0032,CH-MW-01,35,0,9,28,False
INV-0000358,2023-05-29,HOM-0032,CH-WE-01,39,0,18,28,False
INV-0000359,2023-05-29,HOM-0032,CH-ON-01,77,0,9,28,False
INV-0000360,2023-05-29,HOM-0032,CH-WS-01,31,0,1,28,False
